periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Fisika,Warna,50.0,14.0
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Sulfat,300.0,14.0
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Klorida,300.0,10.0
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Amoniak,0.2,0.3
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Total N,15.0,18.5399
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Ni,0.05,0.03
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Kimia,Sianida,0.02,0.03
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Fisika,TDS,1000.0,107.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Fisika,TSS,50.0,33.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,pH,6.9,6.995
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,BOD,3.0,12.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,COD,25.0,41.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,DO,4.0,4.4
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Nitrat,10.0,4.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Nitrit,0.06,0.1459
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Total P,0.2,0.1327
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,F,1.5,0.01
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,H2S,0.002,0.004
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Klorin Bebas n In Situ,0.03,0.0
2024,Periode 2,5,SPK 3,Sepak,Jl. Inspeksi Cengkareng Drain Taman Kota,-6.166694,106.747964,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,CLW2 1,Ciliwung,Jl. Halimun,-6.204944,106.833889,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Zn,0.05,0.006
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Cu,0.02,0.015
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Pb,0.03,0.002
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Cr6,0.05,0.001
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,MBAS,0.2,0.01
2024,Periode 2,5,CLW2 2,Ciliwung,Jl. KH Mas Mansyur Karet Tengsin,-6.200984,106.815148,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Biologi,Total Coliform,5000.0,20000.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Biologi,Fecal Coliform,1000.0,1600.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Fisika,Warna,50.0,13.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Sulfat,300.0,14.0
2024,Periode 2,5,PSG 2,Pesanggrahan,Jl. Tanah Kusir Makam,-6.25443104,106.7691631,Kimia,Klorida,300.0,12.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,DO,4.0,2.295
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Nitrat,10.0,4.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Pb,0.03,0.019
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Cr6,0.05,0.001
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,MBAS,0.2,0.011
2024,Periode 2,5,CLW3 1,Ciliwung,Jembatan Jalan Tambak,-6.201389,106.850944,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Biologi,Total Coliform,5000.0,980.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Biologi,Fecal Coliform,1000.0,288.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Fisika,Warna,50.0,10.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Sulfat,300.0,26.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Klorida,300.0,22.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Amoniak,0.2,4.1
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Total N,15.0,6.4454
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Ni,0.05,0.0095
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Sianida,0.02,0.021
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Fisika,TDS,1000.0,186.0
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Fisika,TSS,50.0,27.0
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,pH,6.9,7.425
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,BOD,3.0,25.0
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,COD,25.0,83.0
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,DO,4.0,1.65
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,Nitrat,10.0,1.0
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,Nitrit,0.06,0.3917
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,Total P,0.2,0.1744
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,F,1.5,0.05
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,H2S,0.002,0.023
2024,Periode 2,5,KLB 6,Kalibaru Barat,Jl. Minangkabau Manggarai,-6.211911111,106.844275,Kimia,Klorin Bebas n In Situ,0.03,0.025
2024,Periode 2,5,CLW3 2,Ciliwung,Jl. Kwitang Dalam Gunung Agung,-6.182375758,106.8368472,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,MBAS,0.2,0.02
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,Fenol,0.005,0.05
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Biologi,Total Coliform,5000.0,11000.0
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Biologi,Fecal Coliform,1000.0,6050.0
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Fisika,Warna,50.0,15.0
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,Sulfat,300.0,8.32
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,Klorida,300.0,10.0
2024,Periode 2,5,KLT 5,Kalibaru Timur,Jl. Outista III Cipinang Cempedak,-6.231694,106.869667,Kimia,Amoniak,0.2,0.8
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Nitrit,0.06,0.146
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Total P,0.2,0.1838
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,F,1.5,0.12
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,H2S,0.002,0.002
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Klorin Bebas n In Situ,0.03,0.025
2024,Periode 2,5,CLW2 2,Ciliwung,Jl. KH Mas Mansyur Karet Tengsin,-6.200984,106.815148,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,KLT 7,Kalibaru Timur,Galur,-6.174388889,106.8520361,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Zn,0.05,0.006
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Cu,0.02,0.015
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Pb,0.03,0.011
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Cr6,0.05,0.001
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,MBAS,0.2,0.013
2024,Periode 2,5,PSG 5,Pesanggrahan,Jl. Inspeksi Cengkareng Drain Taman Kota,-6.170194,106.749056,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Biologi,Total Coliform,5000.0,410.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Biologi,Fecal Coliform,1000.0,100.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Fisika,Warna,50.0,11.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Sulfat,300.0,16.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Klorida,300.0,11.0
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Amoniak,0.2,1.3
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Total N,15.0,10.1767
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Ni,0.05,0.05
2024,Periode 2,5,STR 1,Sunter,Jl. Pondok Rangon,-6.345091,106.917216,Kimia,Sianida,0.02,0.013
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Fisika,TDS,1000.0,150.0
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Fisika,TSS,50.0,23.0
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,pH,6.9,7.34
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,BOD,3.0,26.0
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,COD,25.0,84.0
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,DO,4.0,1.575
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Nitrat,10.0,0.1
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Nitrit,0.06,0.0312
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Total P,0.2,0.2149
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,F,1.5,0.29
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,H2S,0.002,0.002
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Klorin Bebas n In Situ,0.03,0.01
2024,Periode 2,5,PSG 5,Pesanggrahan,Jl. Inspeksi Cengkareng Drain Taman Kota,-6.170194,106.749056,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,STR 3,Sunter,Jl. Kalimalang Depan SMA Penabur,-6.239821,106.892149,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Zn,0.05,0.006
2024,Periode 2,5,STR 2,Sunter,Jl. Raya Hankam Lubang Buaya,-6.284368,106.908756,Kimia,Cu,0.02,0.015
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,DO,4.0,1.15
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Nitrat,10.0,1.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Nitrit,0.06,0.0551
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Total P,0.2,0.6595
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,F,1.5,0.01
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,H2S,0.002,0.003
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Klorin Bebas,0.03,0.06
2024,Periode 2,5,CLW2 3,Ciliwung,Gudang PLN,-6.19819,106.80996,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,KLT 8,Kalibaru Timur,Jl. Utan Panjang Barat pertigaan ke Jl. Kalibaru Timur,-6.164739799,106.8522016,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Zn,0.05,0.006
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Cu,0.02,0.03
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Pb,0.03,0.002
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Cr6,0.05,0.001
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,MBAS,0.2,0.012
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Fenol,0.005,0.002
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Biologi,Total Coliform,5000.0,3090.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Biologi,Fecal Coliform,1000.0,310.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Fisika,Warna,50.0,10.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Sulfat,300.0,25.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Klorida,300.0,17.0
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Amoniak,0.2,3.24
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Total N,15.0,4.2257
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Ni,0.05,0.0095
2024,Periode 2,5,KLB 4,Kalibaru Barat,Depan Terminal Pasar Minggu,-6.280138635,106.8447554,Kimia,Sianida,0.02,0.023
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Fisika,TDS,1000.0,191.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Fisika,TSS,50.0,76.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,pH,6.9,7.225
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,BOD,3.0,21.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,COD,25.0,67.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,DO,4.0,4.25
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Nitrat,10.0,1.0
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Nitrit,0.06,0.3003
2024,Periode 2,5,KLB 5,Kalibaru Barat,Jl. Pasar Minggu Raya Jembatan Gerbang Auri,-6.2461274,106.8427061,Kimia,Total P,0.2,0.4908
