periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,critical,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa),ndvi,kategori
201001,2010-01-15,DKI2,,,,,,,0,,26.9,23.6,7.0,19.0,15.5,276,9.39,24.8,88,91,1011.6,40.0,276,92,81,100,47,27.4,11.6,16.9,6.8,1013.3,1009.6,,TIDAK ADA DATA
201001,2010-01-15,DKI3,,,,,,,0,,26.7,22.9,8.2,20.0,13.0,268,8.6,24.3,90,89,1004.3,36.0,268,95,82,100,44,23.9,9.8,15.1,4.7,1005.9,1002.2,,TIDAK ADA DATA
201001,2010-01-15,DKI4,,,,,,,0,,27.1,23.4,7.0,19.0,15.5,276,9.39,24.6,89,91,1008.4,40.0,276,94,81,100,47,27.4,11.6,16.9,6.8,1010.0,1006.4,,TIDAK ADA DATA
201001,2010-01-15,DKI5,,,,,,,0,,26.7,23.5,8.2,20.0,13.0,268,8.6,24.7,88,89,1011.0,36.0,268,93,81,100,44,23.9,9.8,15.1,4.7,1012.6,1008.9,,TIDAK ADA DATA
201001,2010-01-16,DKI1,54.0,,5.0,38.0,17.0,18.0,54,PM10,28.3,23.5,8.7,15.0,16.9,268,17.79,25.5,85,91,1011.2,41.0,268,93,75,100,64,26.3,11.0,14.8,7.0,1012.3,1009.3,,SEDANG
201001,2010-01-16,DKI2,,,,,,,0,,28.2,23.5,10.0,15.0,18.2,277,17.98,25.5,85,91,1010.9,42.1,277,93,76,100,71,27.8,12.5,17.6,7.2,1012.0,1009.0,,TIDAK ADA DATA
201001,2010-01-16,DKI3,,,,,,,0,,28.6,22.8,8.7,15.0,16.9,268,17.79,25.0,87,91,1003.6,41.0,268,94,74,100,64,26.3,11.0,14.8,7.0,1004.8,1001.8,,TIDAK ADA DATA
201001,2010-01-16,DKI4,,,,,,,0,,28.6,23.2,10.0,15.0,18.2,277,17.98,25.3,86,91,1007.7,42.1,277,93,74,100,71,27.8,12.5,17.6,7.2,1008.8,1005.8,,TIDAK ADA DATA
201001,2010-01-16,DKI5,,,,,,,0,,28.3,23.5,8.7,15.0,16.9,268,17.79,25.4,85,91,1010.3,41.0,268,93,75,100,64,26.3,11.0,14.8,7.0,1011.4,1008.4,,TIDAK ADA DATA
201001,2010-01-17,DKI1,44.0,,4.0,28.0,22.0,14.0,44,PM10,28.4,23.6,3.8,19.0,17.6,272,19.55,25.5,85,67,1011.0,47.9,272,92,77,100,30,30.7,11.3,17.3,6.8,1012.4,1008.7,0.2234,BAIK
201001,2010-01-17,DKI2,,,,,,,0,,28.3,23.6,4.9,20.0,19.0,280,19.97,25.5,85,66,1010.7,50.4,280,92,77,95,29,32.9,13.0,20.2,7.9,1012.2,1008.4,0.1151,TIDAK ADA DATA
201001,2010-01-17,DKI3,,,,,,,0,,28.7,22.8,3.8,19.0,17.6,272,19.55,25.1,86,67,1003.4,47.9,272,95,74,100,30,30.7,11.3,17.3,6.8,1004.8,1001.2,0.268,TIDAK ADA DATA
201001,2010-01-17,DKI4,,,,,,,0,,28.8,23.1,4.9,20.0,19.0,280,19.97,25.4,85,66,1007.5,50.4,280,93,74,95,29,32.9,13.0,20.2,7.9,1009.0,1005.2,0.4505,TIDAK ADA DATA
201001,2010-01-17,DKI5,,,,,,,0,,28.3,23.5,3.8,19.0,17.6,272,19.55,25.5,85,67,1010.1,47.9,272,92,77,100,30,30.7,11.3,17.3,6.8,1011.5,1007.8,0.4848,TIDAK ADA DATA
201001,2010-01-18,DKI1,38.0,,4.0,29.0,24.0,15.0,38,PM10,28.5,24.0,3.2,17.0,15.9,287,20.33,25.9,85,82,1010.4,40.7,287,93,76,100,51,25.3,8.9,9.7,4.0,1011.9,1007.7,,BAIK
201001,2010-01-18,DKI2,,,,,,,0,,28.4,24.0,3.5,17.0,17.3,292,20.71,25.9,86,83,1010.2,42.5,292,93,75,100,44,28.5,11.3,12.6,5.4,1011.7,1007.5,,TIDAK ADA DATA
201001,2010-01-18,DKI3,,,,,,,0,,28.8,22.9,3.2,17.0,15.9,287,20.33,25.4,87,82,1002.8,40.7,287,96,75,100,51,25.3,8.9,9.7,4.0,1004.3,1000.2,,TIDAK ADA DATA
201001,2010-01-18,DKI4,,,,,,,0,,28.7,23.5,3.5,17.0,17.3,292,20.71,25.7,86,83,1006.9,42.5,292,94,74,100,44,28.5,11.3,12.6,5.4,1008.5,1004.3,,TIDAK ADA DATA
201001,2010-01-18,DKI5,,,,,,,0,,28.4,23.9,3.2,17.0,15.9,287,20.33,25.8,85,82,1009.4,40.7,287,93,76,100,51,25.3,8.9,9.7,4.0,1011.0,1006.8,,TIDAK ADA DATA
201001,2010-01-19,DKI1,40.0,,3.0,43.0,23.0,23.0,43,CO,27.2,23.7,21.0,23.0,16.6,299,15.3,25.2,88,94,1010.6,33.5,299,95,79,100,72,21.6,7.2,11.9,0.4,1012.3,1008.9,,BAIK
201001,2010-01-19,DKI2,,,,,,,0,,27.0,23.6,20.7,23.0,16.7,294,15.24,25.1,88,93,1010.4,35.3,294,95,80,100,56,22.7,8.6,13.0,1.9,1012.1,1008.8,,TIDAK ADA DATA
201001,2010-01-19,DKI3,,,,,,,0,,27.1,23.1,21.0,23.0,16.6,299,15.3,24.8,90,94,1003.0,33.5,299,97,79,100,72,21.6,7.2,11.9,0.4,1004.7,1001.4,,TIDAK ADA DATA
201001,2010-01-19,DKI4,,,,,,,0,,27.3,23.3,20.7,23.0,16.7,294,15.24,25.0,89,93,1007.2,35.3,294,97,79,100,56,22.7,8.6,13.0,1.9,1008.9,1005.6,,TIDAK ADA DATA
201001,2010-01-19,DKI5,,,,,,,0,,27.2,23.6,21.0,23.0,16.6,299,15.3,25.1,88,94,1009.7,33.5,299,95,79,100,72,21.6,7.2,11.9,0.4,1011.4,1008.0,,TIDAK ADA DATA
201001,2010-01-20,DKI1,61.0,,5.0,63.0,16.0,17.0,63,CO,28.8,23.0,6.6,14.0,12.3,254,19.67,25.4,89,97,1011.2,30.2,254,98,73,100,73,17.0,5.3,6.8,1.1,1012.7,1009.1,,SEDANG
201001,2010-01-20,DKI2,,,,,,,0,,28.7,23.0,9.4,15.0,12.3,276,20.2,25.4,89,98,1011.0,31.3,276,98,74,100,82,17.4,5.5,6.1,1.3,1012.5,1008.7,,TIDAK ADA DATA
201001,2010-01-20,DKI3,,,,,,,0,,29.2,22.4,6.6,14.0,12.3,254,19.67,25.1,90,97,1003.6,30.2,254,99,73,100,73,17.0,5.3,6.8,1.1,1005.2,1001.6,,TIDAK ADA DATA
201001,2010-01-20,DKI4,,,,,,,0,,29.1,22.6,9.4,15.0,12.3,276,20.2,25.3,90,98,1007.8,31.3,276,99,73,100,82,17.4,5.5,6.1,1.3,1009.3,1005.5,,TIDAK ADA DATA
201001,2010-01-20,DKI5,,,,,,,0,,28.8,23.0,6.6,14.0,12.3,254,19.67,25.4,89,97,1010.3,30.2,254,98,73,100,73,17.0,5.3,6.8,1.1,1011.8,1008.2,,TIDAK ADA DATA
201001,2010-01-21,DKI1,36.0,,4.0,27.0,23.0,13.0,36,PM10,29.6,23.9,11.6,8.0,13.4,262,19.13,26.1,85,97,1010.9,33.1,262,97,70,100,52,15.7,7.0,7.6,2.3,1012.2,1008.7,,BAIK
201001,2010-01-21,DKI2,,,,,,,0,,29.5,23.8,17.6,8.0,11.2,268,19.61,26.0,85,98,1010.7,33.8,268,96,70,100,74,14.9,5.9,6.8,3.0,1012.1,1008.5,,TIDAK ADA DATA
201001,2010-01-21,DKI3,,,,,,,0,,29.9,23.1,11.6,8.0,13.4,262,19.13,25.6,87,97,1003.3,33.1,262,98,69,100,52,15.7,7.0,7.6,2.3,1004.6,1001.2,,TIDAK ADA DATA
201001,2010-01-21,DKI4,,,,,,,0,,30.0,23.4,17.6,8.0,11.2,268,19.61,25.8,86,98,1007.5,33.8,268,98,68,100,74,14.9,5.9,6.8,3.0,1008.8,1005.3,,TIDAK ADA DATA
201001,2010-01-21,DKI5,,,,,,,0,,29.5,23.8,11.6,8.0,13.4,262,19.13,26.0,85,97,1010.0,33.1,262,97,70,100,52,15.7,7.0,7.6,2.3,1011.3,1007.8,,TIDAK ADA DATA
201001,2010-01-22,DKI1,51.0,,4.0,45.0,14.0,13.0,51,PM10,29.3,23.9,12.7,13.0,13.7,253,18.13,25.7,87,99,1011.1,31.7,253,95,73,100,93,16.7,7.9,8.3,4.6,1012.6,1009.9,,SEDANG
201001,2010-01-22,DKI2,,,,,,,0,,29.1,23.9,13.6,14.0,14.9,265,18.58,25.7,87,98,1010.8,32.8,265,95,72,100,91,17.8,8.3,9.4,4.3,1012.5,1009.6,,TIDAK ADA DATA
201001,2010-01-22,DKI3,,,,,,,0,,29.9,23.2,12.7,13.0,13.7,253,18.13,25.2,90,99,1003.5,31.7,253,98,70,100,93,16.7,7.9,8.3,4.6,1005.0,1002.3,,TIDAK ADA DATA
201001,2010-01-22,DKI4,,,,,,,0,,29.7,23.5,13.6,14.0,14.9,265,18.58,25.5,88,98,1007.6,32.8,265,97,70,100,91,17.8,8.3,9.4,4.3,1009.2,1006.4,,TIDAK ADA DATA
201001,2010-01-22,DKI5,,,,,,,0,,29.2,23.8,12.7,13.0,13.7,253,18.13,25.7,87,99,1010.2,31.7,253,95,73,100,93,16.7,7.9,8.3,4.6,1011.7,1009.0,,TIDAK ADA DATA
201001,2010-01-23,DKI1,35.0,,3.0,30.0,20.0,14.0,35,PM10,29.3,23.7,17.0,17.0,12.3,252,16.63,25.9,86,90,1010.9,26.6,252,96,72,100,70,14.5,6.3,5.0,3.2,1012.1,1008.5,,BAIK
