periode_data,tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
201808,10/08/2018,65,33,18,165,17,165,O3,TIDAK SEHAT,DKI2
201808,11/08/2018,69,31,17,126,19,126,O3,TIDAK SEHAT,DKI3
201808,12/08/2018,77,31,20,127,15,127,O3,TIDAK SEHAT,DKI5
201808,13/08/2018,66,30,14,134,14,134,O3,TIDAK SEHAT,DKI5
201808,14/08/2018,74,31,19,151,13,151,O3,TIDAK SEHAT,DKI5
201808,15/08/2018,62,30,15,185,16,185,O3,TIDAK SEHAT,DKI5
201808,16/08/2018,72,31,17,140,15,140,O3,TIDAK SEHAT,DKI5
201808,17/08/2018,62,31,15,154,13,154,O3,TIDAK SEHAT,DKI5
201808,18/08/2018,62,30,14,143,14,143,O3,TIDAK SEHAT,DKI5
201808,19/08/2018,79,32,20,149,13,149,O3,TIDAK SEHAT,DKI5
201808,20/08/2018,80,30,19,101,11,101,O3,TIDAK SEHAT,DKI5
201808,21/08/2018,73,32,16,122,11,122,O3,TIDAK SEHAT,DKI3
201808,22/08/2018,62,31,16,164,9,164,O3,TIDAK SEHAT,DKI5
201808,23/08/2018,62,30,17,161,16,161,O3,TIDAK SEHAT,DKI5
201808,24/08/2018,81,32,22,110,18,110,O3,TIDAK SEHAT,DKI5
201808,25/08/2018,76,31,19,202,13,202,O3,SANGAT TIDAK SEHAT,DKI5
201808,26/08/2018,75,30,16,131,12,131,O3,TIDAK SEHAT,DKI5
201808,27/08/2018,79,31,20,166,13,166,O3,TIDAK SEHAT,DKI5
201808,28/08/2018,83,31,17,182,13,182,O3,TIDAK SEHAT,DKI5
201808,29/08/2018,67,30,16,161,13,161,O3,TIDAK SEHAT,DKI5
201808,30/08/2018,85,31,17,153,16,153,O3,TIDAK SEHAT,DKI2
201808,31/08/2018,65,30,18,130,11,130,O3,TIDAK SEHAT,DKI5
201809,01/09/2018,68,29,20,145,13,145,O3,TIDAK SEHAT,DKI5
201809,02/09/2018,73,30,20,136,11,136,O3,TIDAK SEHAT,DKI5
201809,03/09/2018,62,37,23,175,24,175,O3,TIDAK SEHAT,DKI5
201809,04/09/2018,52,37,22,217,24,217,O3,SANGAT TIDAK SEHAT,DKI5
201809,05/09/2018,53,31,15,140,24,140,O3,TIDAK SEHAT,DKI5
201809,06/09/2018,82,44,25,148,17,148,O3,TIDAK SEHAT,DKI5
201809,07/09/2018,69,33,21,147,10,147,O3,TIDAK SEHAT,DKI5
201809,08/09/2018,51,33,19,175,16,175,O3,TIDAK SEHAT,DKI5
201809,09/09/2018,81,34,30,126,16,126,O3,TIDAK SEHAT,DKI5
201809,10/09/2018,69,33,20,132,12,132,O3,TIDAK SEHAT,DKI5
201809,11/09/2018,63,33,16,102,11,102,O3,TIDAK SEHAT,DKI5
201809,12/09/2018,61,32,16,164,13,164,O3,TIDAK SEHAT,DKI2
201809,13/09/2018,70,46,19,190,13,190,O3,TIDAK SEHAT,DKI5
201809,14/09/2018,62,44,18,233,17,233,O3,SANGAT TIDAK SEHAT,DKI2
201809,15/09/2018,68,37,17,196,23,196,O3,TIDAK SEHAT,DKI2
201809,16/09/2018,82,34,15,119,11,119,O3,TIDAK SEHAT,DKI2
201809,17/09/2018,62,33,17,83,14,83,O3,SEDANG,DKI5
201809,18/09/2018,64,32,18,141,11,141,O3,TIDAK SEHAT,DKI5
201809,19/09/2018,58,34,16,85,11,85,O3,SEDANG,DKI5
201802,01/02/2018,44,43,37,73,13,73,O3,SEDANG,DKI5
201802,02/02/2018,47,45,56,68,12,68,O3,SEDANG,DKI3
201802,03/02/2018,42,44,35,59,12,59,O3,SEDANG,DKI5
201802,04/02/2018,35,47,35,57,12,57,O3,SEDANG,DKI5
201802,05/02/2018,31,46,32,66,9,66,O3,SEDANG,DKI5
201802,06/02/2018,45,48,71,75,16,75,O3,SEDANG,DKI5
201802,07/02/2018,42,50,60,89,14,89,O3,SEDANG,DKI5
201802,08/02/2018,55,49,62,89,22,89,O3,SEDANG,DKI5
201802,09/02/2018,53,24,88,65,14,88,CO,SEDANG,DKI5
201802,10/02/2018,43,24,52,58,16,58,O3,SEDANG,DKI5
201802,11/02/2018,48,25,39,56,12,56,O3,SEDANG,DKI5
201802,12/02/2018,50,21,56,70,12,70,O3,SEDANG,DKI5
201802,13/02/2018,57,21,32,75,13,75,O3,SEDANG,DKI5
201802,14/02/2018,60,22,27,80,17,80,O3,SEDANG,DKI5
201802,15/02/2018,55,22,63,58,15,63,CO,SEDANG,DKI5
201802,16/02/2018,22,22,23,68,14,68,O3,SEDANG,DKI5
201802,17/02/2018,53,24,23,48,14,53,PM10,SEDANG,DKI4
201802,18/02/2018,40,23,23,80,9,80,O3,SEDANG,DKI5
201802,19/02/2018,45,24,20,65,14,65,O3,SEDANG,DKI5
201802,20/02/2018,52,32,35,62,14,62,O3,SEDANG,DKI5
201802,21/02/2018,57,26,22,66,26,66,O3,SEDANG,DKI2
201802,22/02/2018,53,26,66,47,19,66,CO,SEDANG,DKI5
201802,23/02/2018,64,26,88,61,14,88,CO,SEDANG,DKI5
201802,24/02/2018,47,23,22,76,11,76,O3,SEDANG,DKI3
201802,25/02/2018,48,26,20,91,11,91,O3,SEDANG,DKI5
201802,26/02/2018,46,25,33,80,15,80,O3,SEDANG,DKI5
201802,27/02/2018,47,25,42,64,17,64,O3,SEDANG,DKI3
201802,28/02/2018,56,28,56,80,16,80,O3,SEDANG,DKI3
201803,01/03/2018,72,24,40,126,19,126,O3,TIDAK SEHAT,DKI5
201803,02/03/2018,51,29,34,146,17,146,O3,TIDAK SEHAT,DKI2
201803,03/03/2018,62,30,37,109,18,109,O3,TIDAK SEHAT,DKI5
201803,04/03/2018,60,30,64,194,19,194,O3,TIDAK SEHAT,DKI5
201803,05/03/2018,61,23,48,79,20,79,O3,SEDANG,DKI5
201803,06/03/2018,64,28,30,103,16,103,O3,TIDAK SEHAT,DKI3
201803,07/03/2018,66,26,48,76,21,76,O3,SEDANG,DKI3
201803,08/03/2018,55,29,47,107,22,107,O3,TIDAK SEHAT,DKI5
201803,09/03/2018,59,30,59,81,27,81,O3,SEDANG,DKI5
201803,10/03/2018,60,25,27,54,12,60,PM10,SEDANG,DKI3
201803,11/03/2018,56,25,18,63,10,63,O3,SEDANG,DKI5
201803,12/03/2018,39,24,20,46,9,46,O3,BAIK,DKI5
201803,13/03/2018,49,28,20,61,8,61,O3,SEDANG,DKI3
201803,14/03/2018,62,31,20,89,11,89,O3,SEDANG,DKI3
201803,15/03/2018,68,37,24,136,30,136,O3,TIDAK SEHAT,DKI2
201803,16/03/2018,75,30,20,191,15,191,O3,TIDAK SEHAT,DKI5
201803,17/03/2018,71,32,24,155,20,155,O3,TIDAK SEHAT,DKI5
201803,18/03/2018,72,31,54,195,14,195,O3,TIDAK SEHAT,DKI5
201803,19/03/2018,50,27,21,156,15,156,O3,TIDAK SEHAT,DKI5
201803,20/03/2018,51,29,23,202,22,202,O3,SANGAT TIDAK SEHAT,DKI5
201803,21/03/2018,62,25,31,87,14,87,O3,SEDANG,DKI2
201803,22/03/2018,30,25,18,51,9,51,O3,SEDANG,DKI3
201803,23/03/2018,75,44,49,94,21,94,O3,SEDANG,DKI5
201803,24/03/2018,66,30,23,55,17,66,PM10,SEDANG,DKI1
201803,25/03/2018,36,24,16,64,19,64,O3,SEDANG,DKI2
201803,26/03/2018,51,27,24,90,19,90,O3,SEDANG,DKI2
201801,01/01/2018,76,31,38,35,9,76,PM10,SEDANG,DKI4
201801,02/01/2018,23,31,24,39,14,39,O3,BAIK,DKI3
201801,03/01/2018,53,35,35,101,23,101,O3,TIDAK SEHAT,DKI3
201801,04/01/2018,53,49,34,57,15,57,O3,SEDANG,DKI3
201801,05/01/2018,44,32,26,28,10,44,PM10,BAIK,DKI4
201801,06/01/2018,20,30,22,31,5,31,O3,BAIK,DKI5
201801,07/01/2018,26,30,14,46,5,46,O3,BAIK,DKI5
201801,08/01/2018,62,33,19,73,17,73,O3,SEDANG,DKI5
201801,09/01/2018,45,32,16,63,14,63,O3,SEDANG,DKI3
201801,10/01/2018,42,34,16,95,17,95,O3,SEDANG,DKI5
201801,11/01/2018,40,38,18,81,19,81,O3,SEDANG,DKI5
201801,12/01/2018,37,33,18,83,17,83,O3,SEDANG,DKI5
201801,13/01/2018,51,30,17,93,21,93,O3,SEDANG,DKI5
201801,14/01/2018,33,72,17,73,14,73,O3,SEDANG,DKI5
201801,15/01/2018,30,72,19,70,12,72,SO2,SEDANG,DKI4
201801,16/01/2018,25,70,19,61,10,70,SO2,SEDANG,DKI4
201801,17/01/2018,35,52,19,60,13,60,O3,SEDANG,DKI5
201801,18/01/2018,41,52,22,56,15,56,O3,SEDANG,DKI5
201801,19/01/2018,46,51,29,48,19,51,SO2,SEDANG,DKI4
201801,20/01/2018,27,51,18,38,7,51,SO2,SEDANG,DKI4
201801,21/01/2018,25,51,18,40,8,51,SO2,SEDANG,DKI4
201801,22/01/2018,26,52,17,32,6,52,SO2,SEDANG,DKI4
201801,23/01/2018,28,52,17,57,9,57,O3,SEDANG,DKI5
201801,24/01/2018,33,53,20,86,19,86,O3,SEDANG,DKI5
201801,25/01/2018,26,53,22,51,15,53,SO2,SEDANG,DKI4
201801,26/01/2018,21,53,19,41,7,53,SO2,SEDANG,DKI4
201801,27/01/2018,27,54,19,63,6,63,O3,SEDANG,DKI5
201801,28/01/2018,34,55,20,52,6,55,SO2,SEDANG,DKI4
201801,29/01/2018,22,54,18,39,7,54,SO2,SEDANG,DKI4
201801,30/01/2018,27,41,22,41,7,41,SO2,BAIK,DKI5
201801,31/01/2018,28,54,21,58,12,58,O3,SEDANG,DKI5
201803,27/03/2018,41,24,20,94,7,94,O3,SEDANG,DKI2
201803,28/03/2018,75,31,42,195,26,195,O3,TIDAK SEHAT,DKI2
201803,29/03/2018,71,34,26,129,19,129,O3,TIDAK SEHAT,DKI2
201803,30/03/2018,56,30,34,105,30,105,O3,TIDAK SEHAT,DKI2
201803,31/03/2018,39,48,15,67,8,67,O3,SEDANG,DKI5
201805,01/05/2018,73,25,19,101,18,101,O3,TIDAK SEHAT,DKI5
201805,02/05/2018,88,25,22,183,18,183,O3,TIDAK SEHAT,DKI5
201805,03/05/2018,103,27,23,166,20,166,O3,TIDAK SEHAT,DKI5
201805,04/05/2018,91,27,46,164,23,164,O3,TIDAK SEHAT,DKI5
201805,05/05/2018,78,26,27,137,17,137,O3,TIDAK SEHAT,DKI5
201805,06/05/2018,70,26,17,109,15,109,O3,TIDAK SEHAT,DKI5
201805,07/05/2018,68,27,17,77,16,77,O3,SEDANG,DKI5
201805,08/05/2018,79,26,21,204,17,204,O3,SANGAT TIDAK SEHAT,DKI5
201805,09/05/2018,93,27,21,156,20,156,O3,TIDAK SEHAT,DKI5
201805,10/05/2018,73,25,18,107,15,107,O3,TIDAK SEHAT,DKI5
201805,11/05/2018,74,27,16,83,18,83,O3,SEDANG,DKI5
201805,12/05/2018,103,27,29,144,21,144,O3,TIDAK SEHAT,DKI5
201805,13/05/2018,96,26,26,131,14,131,O3,TIDAK SEHAT,DKI5
201805,14/05/2018,87,26,20,178,13,178,O3,TIDAK SEHAT,DKI5
201805,15/05/2018,94,27,25,143,17,143,O3,TIDAK SEHAT,DKI5
201805,16/05/2018,87,28,23,151,16,151,O3,TIDAK SEHAT,DKI5
201805,17/05/2018,65,25,19,80,16,80,O3,SEDANG,DKI3
201805,18/05/2018,78,26,26,86,11,86,O3,SEDANG,DKI5
201805,19/05/2018,59,24,13,102,10,102,O3,TIDAK SEHAT,DKI5
201805,20/05/2018,61,25,29,98,12,98,O3,SEDANG,DKI5
201805,21/05/2018,60,25,20,185,16,185,O3,TIDAK SEHAT,DKI5
201805,22/05/2018,58,25,14,80,10,80,O3,SEDANG,DKI5
201805,23/05/2018,58,26,12,74,12,74,O3,SEDANG,DKI5
201805,24/05/2018,42,25,12,94,10,94,O3,SEDANG,DKI5
201805,25/05/2018,66,26,22,92,11,92,O3,SEDANG,DKI5
201805,26/05/2018,71,29,24,119,13,119,O3,TIDAK SEHAT,DKI5
201805,27/05/2018,62,26,23,156,10,156,O3,TIDAK SEHAT,DKI5
201805,28/05/2018,81,24,55,120,33,120,O3,TIDAK SEHAT,DKI2
201805,29/05/2018,84,31,21,118,20,118,O3,TIDAK SEHAT,DKI5
201805,30/05/2018,86,25,24,191,20,191,O3,TIDAK SEHAT,DKI5
201805,31/05/2018,83,28,21,183,20,183,O3,TIDAK SEHAT,DKI2
201806,01/06/2018,75,27,30,115,15,115,O3,TIDAK SEHAT,DKI5
201806,02/06/2018,78,26,14,86,18,86,O3,SEDANG,DKI5
201806,03/06/2018,82,26,16,145,17,145,O3,TIDAK SEHAT,DKI5
201806,04/06/2018,73,27,11,125,19,125,O3,TIDAK SEHAT,DKI5
201806,05/06/2018,69,26,13,146,14,146,O3,TIDAK SEHAT,DKI5
201806,06/06/2018,78,26,16,133,13,133,O3,TIDAK SEHAT,DKI5
201806,07/06/2018,79,25,21,179,18,179,O3,TIDAK SEHAT,DKI5
201806,08/06/2018,68,27,16,162,17,162,O3,TIDAK SEHAT,DKI5
201806,09/06/2018,100,27,39,167,22,167,O3,TIDAK SEHAT,DKI5
201806,10/06/2018,75,27,28,203,17,203,O3,SANGAT TIDAK SEHAT,DKI2
201806,11/06/2018,74,27,14,169,14,169,O3,TIDAK SEHAT,DKI2
201806,12/06/2018,67,26,18,161,13,161,O3,TIDAK SEHAT,DKI2
201806,13/06/2018,64,25,30,163,16,163,O3,TIDAK SEHAT,DKI5
201806,14/06/2018,56,25,18,144,7,144,O3,TIDAK SEHAT,DKI5
201806,15/06/2018,60,26,21,161,8,161,O3,TIDAK SEHAT,DKI2
201806,16/06/2018,61,37,31,139,17,139,O3,TIDAK SEHAT,DKI2
201806,17/06/2018,49,27,11,88,8,88,O3,SEDANG,DKI5
201806,18/06/2018,51,27,10,75,10,75,O3,SEDANG,DKI5
201806,19/06/2018,60,26,13,97,10,97,O3,SEDANG,DKI5
201806,20/06/2018,73,26,16,86,10,86,O3,SEDANG,DKI5
201806,21/06/2018,51,27,11,70,5,70,O3,SEDANG,DKI5
201806,22/06/2018,66,28,17,94,13,94,O3,SEDANG,DKI5
201806,23/06/2018,81,27,14,77,10,81,PM10,SEDANG,DKI4
201806,24/06/2018,50,25,15,110,10,110,O3,TIDAK SEHAT,DKI5
201806,25/06/2018,35,25,14,100,11,100,O3,SEDANG,DKI5
201806,26/06/2018,56,26,43,107,23,107,O3,TIDAK SEHAT,DKI2
201806,27/06/2018,60,26,23,136,19,136,O3,TIDAK SEHAT,DKI5
201806,28/06/2018,69,27,24,146,10,146,O3,TIDAK SEHAT,DKI5
201806,29/06/2018,73,28,18,213,20,213,O3,SANGAT TIDAK SEHAT,DKI5
201806,30/06/2018,67,30,17,193,15,193,O3,TIDAK SEHAT,DKI2
201807,01/07/2018,96,28,27,205,20,205,O3,SANGAT TIDAK SEHAT,DKI5
201807,02/07/2018,79,29,28,142,20,142,O3,TIDAK SEHAT,DKI5
201807,03/07/2018,79,29,23,166,16,166,O3,TIDAK SEHAT,DKI2
201807,04/07/2018,104,31,24,209,19,209,O3,SANGAT TIDAK SEHAT,DKI2
201807,05/07/2018,63,29,16,123,13,123,O3,TIDAK SEHAT,DKI5
201807,06/07/2018,74,31,16,113,19,113,O3,TIDAK SEHAT,DKI5
201807,07/07/2018,95,32,32,104,24,104,O3,TIDAK SEHAT,DKI5
201807,08/07/2018,95,29,32,111,22,111,O3,TIDAK SEHAT,DKI2
201809,20/09/2018,70,34,19,77,12,77,O3,SEDANG,DKI5
201809,21/09/2018,80,33,34,75,12,80,PM10,SEDANG,DKI4
201809,22/09/2018,58,33,25,157,13,157,O3,TIDAK SEHAT,DKI5
201809,23/09/2018,84,33,29,130,14,130,O3,TIDAK SEHAT,DKI5
201809,24/09/2018,69,33,25,152,21,152,O3,TIDAK SEHAT,DKI5
201809,25/09/2018,78,32,31,197,16,197,O3,TIDAK SEHAT,DKI5
201809,26/09/2018,94,50,26,202,21,202,O3,SANGAT TIDAK SEHAT,DKI5
201809,27/09/2018,72,37,21,146,18,146,O3,TIDAK SEHAT,DKI5
201809,28/09/2018,70,33,22,194,17,194,O3,TIDAK SEHAT,DKI5
201809,29/09/2018,62,33,21,165,15,165,O3,TIDAK SEHAT,DKI5
201809,30/09/2018,63,32,20,145,11,145,O3,TIDAK SEHAT,DKI5
201811,01/11/2018,74,27,35,95,16,95,O3,SEDANG,DKI2
201811,02/11/2018,50,26,21,85,13,85,O3,SEDANG,DKI3
201811,03/11/2018,76,29,24,173,14,173,O3,TIDAK SEHAT,DKI2
201811,04/11/2018,56,26,31,110,18,110,O3,TIDAK SEHAT,DKI5
201811,05/11/2018,56,24,23,101,17,101,O3,TIDAK SEHAT,DKI3
201811,06/11/2018,53,28,20,122,12,122,O3,TIDAK SEHAT,DKI2
201811,07/11/2018,59,28,26,96,30,96,O3,SEDANG,DKI5
201811,08/11/2018,63,32,24,89,21,89,O3,SEDANG,DKI3
201811,09/11/2018,61,24,22,98,16,98,O3,SEDANG,DKI3
201811,10/11/2018,60,24,36,166,19,166,O3,TIDAK SEHAT,DKI3
201811,11/11/2018,71,40,35,104,16,104,O3,TIDAK SEHAT,DKI3
201811,12/11/2018,66,24,31,144,15,144,O3,TIDAK SEHAT,DKI2
201811,13/11/2018,66,23,31,129,23,129,O3,TIDAK SEHAT,DKI2
201811,14/11/2018,60,23,25,65,17,65,O3,SEDANG,DKI2
201811,15/11/2018,40,23,20,51,8,51,O3,SEDANG,DKI2
201811,16/11/2018,54,31,22,234,16,234,O3,SANGAT TIDAK SEHAT,DKI2
201811,17/11/2018,65,36,18,145,16,145,O3,TIDAK SEHAT,DKI2
201811,18/11/2018,59,28,22,120,16,120,O3,TIDAK SEHAT,DKI3
201811,19/11/2018,81,25,31,90,17,90,O3,SEDANG,DKI3
201811,20/11/2018,56,25,21,94,16,94,O3,SEDANG,DKI2
201811,21/11/2018,66,31,21,163,22,163,O3,TIDAK SEHAT,DKI2
201811,22/11/2018,69,26,25,129,20,129,O3,TIDAK SEHAT,DKI2
201811,23/11/2018,66,27,26,203,22,203,O3,SANGAT TIDAK SEHAT,DKI2
201811,24/11/2018,61,24,38,193,22,193,O3,TIDAK SEHAT,DKI2
201811,25/11/2018,57,25,21,77,15,77,O3,SEDANG,DKI3
201811,26/11/2018,73,24,26,90,20,90,O3,SEDANG,DKI3
201811,27/11/2018,63,24,28,126,19,126,O3,TIDAK SEHAT,DKI3
201811,28/11/2018,63,26,22,109,17,109,O3,TIDAK SEHAT,DKI2
201811,29/11/2018,62,27,33,76,26,76,O3,SEDANG,DKI3
201811,30/11/2018,53,24,20,131,15,131,O3,TIDAK SEHAT,DKI3
201812,01/12/2018,60,26,27,112,17,112,O3,TIDAK SEHAT,DKI3
201812,02/12/2018,73,36,22,132,21,132,O3,TIDAK SEHAT,DKI2
201812,03/12/2018,65,31,21,97,20,97,O3,SEDANG,DKI2
201812,04/12/2018,64,24,31,71,21,71,O3,SEDANG,DKI1
201812,05/12/2018,62,25,33,81,22,81,O3,SEDANG,DKI5
201812,06/12/2018,61,27,33,94,17,94,O3,SEDANG,DKI3
201812,07/12/2018,59,40,29,134,15,134,O3,TIDAK SEHAT,DKI3
201812,08/12/2018,68,25,30,134,27,134,O3,TIDAK SEHAT,DKI2
201812,09/12/2018,60,25,25,104,19,104,O3,TIDAK SEHAT,DKI2
201812,10/12/2018,68,24,32,137,19,137,O3,TIDAK SEHAT,DKI2
201812,11/12/2018,82,26,50,123,34,123,O3,TIDAK SEHAT,DKI2
201812,12/12/2018,58,26,31,214,22,214,O3,SANGAT TIDAK SEHAT,DKI2
201812,13/12/2018,52,26,24,117,26,117,O3,TIDAK SEHAT,DKI2
201812,14/12/2018,50,24,21,92,18,92,O3,SEDANG,DKI3
201812,15/12/2018,37,24,16,47,6,47,O3,BAIK,DKI2
201812,16/12/2018,46,25,11,63,9,63,O3,SEDANG,DKI2
201812,17/12/2018,41,30,12,128,12,128,O3,TIDAK SEHAT,DKI2
201812,18/12/2018,51,27,16,160,14,160,O3,TIDAK SEHAT,DKI2
201812,19/12/2018,62,27,24,195,19,195,O3,TIDAK SEHAT,DKI2
201812,20/12/2018,55,27,24,97,18,97,O3,SEDANG,DKI3
201812,21/12/2018,41,25,19,64,17,64,O3,SEDANG,DKI3
201812,22/12/2018,58,32,21,66,18,66,O3,SEDANG,DKI3
201812,23/12/2018,48,26,19,44,21,48,PM10,BAIK,DKI1
201812,24/12/2018,34,24,9,45,5,45,O3,BAIK,DKI3
201812,25/12/2018,29,24,7,70,4,70,O3,SEDANG,DKI3
201812,26/12/2018,31,25,7,69,5,69,O3,SEDANG,DKI3
201812,27/12/2018,29,25,15,55,6,55,O3,SEDANG,DKI1
201812,28/12/2018,33,24,7,63,3,63,O3,SEDANG,DKI1
201812,29/12/2018,30,24,6,50,8,50,O3,BAIK,DKI3
201812,30/12/2018,48,12,6,53,4,53,O3,SEDANG,DKI3
201812,31/12/2018,44,18,6,43,4,44,PM10,BAIK,DKI3
201810,01/10/2018,92,33,17,124,12,124,O3,TIDAK SEHAT,DKI5
201810,02/10/2018,76,41,22,88,21,88,O3,SEDANG,DKI5
201810,03/10/2018,70,32,20,144,11,144,O3,TIDAK SEHAT,DKI5
201810,04/10/2018,73,32,24,109,11,109,O3,TIDAK SEHAT,DKI5
201810,05/10/2018,67,34,18,146,13,146,O3,TIDAK SEHAT,DKI5
201810,06/10/2018,70,33,21,123,12,123,O3,TIDAK SEHAT,DKI5
201810,07/10/2018,87,34,22,128,12,128,O3,TIDAK SEHAT,DKI5
201810,08/10/2018,66,34,19,185,12,185,O3,TIDAK SEHAT,DKI5
201810,09/10/2018,62,34,19,173,11,173,O3,TIDAK SEHAT,DKI5
201810,10/10/2018,79,36,24,190,18,190,O3,TIDAK SEHAT,DKI5
201810,11/10/2018,81,36,17,149,13,149,O3,TIDAK SEHAT,DKI5
201810,12/10/2018,77,35,22,118,16,118,O3,TIDAK SEHAT,DKI5
201810,13/10/2018,64,35,20,189,25,189,O3,TIDAK SEHAT,DKI2
201810,14/10/2018,86,35,20,138,16,138,O3,TIDAK SEHAT,DKI5
201810,15/10/2018,73,33,19,119,12,119,O3,TIDAK SEHAT,DKI5
201810,16/10/2018,74,33,23,210,19,210,O3,SANGAT TIDAK SEHAT,DKI5
201810,17/10/2018,75,34,23,217,19,217,O3,SANGAT TIDAK SEHAT,DKI5
201810,18/10/2018,72,36,20,207,22,207,O3,SANGAT TIDAK SEHAT,DKI5
201810,19/10/2018,66,30,23,146,17,146,O3,TIDAK SEHAT,DKI5
