time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa)
2010-01-15,26.7,23.5,8.20,20.0,13.0,268,8.60,24.7,88,89,1011.0,36.0,268,93,81,100,44,23.9,9.8,15.1,4.7,1012.6,1008.9
2010-01-16,28.3,23.5,8.70,15.0,16.9,268,17.79,25.4,85,91,1010.3,41.0,268,93,75,100,64,26.3,11.0,14.8,7.0,1011.4,1008.4
2010-01-17,28.3,23.5,3.80,19.0,17.6,272,19.55,25.5,85,67,1010.1,47.9,272,92,77,100,30,30.7,11.3,17.3,6.8,1011.5,1007.8
2010-01-18,28.4,23.9,3.20,17.0,15.9,287,20.33,25.8,85,82,1009.4,40.7,287,93,76,100,51,25.3,8.9,9.7,4.0,1011.0,1006.8
2010-01-19,27.2,23.6,21.00,23.0,16.6,299,15.30,25.1,88,94,1009.7,33.5,299,95,79,100,72,21.6,7.2,11.9,0.4,1011.4,1008.0
2010-01-20,28.8,23.0,6.60,14.0,12.3,254,19.67,25.4,89,97,1010.3,30.2,254,98,73,100,73,17.0,5.3,6.8,1.1,1011.8,1008.2
2010-01-21,29.5,23.8,11.60,8.0,13.4,262,19.13,26.0,85,97,1010.0,33.1,262,97,70,100,52,15.7,7.0,7.6,2.3,1011.3,1007.8
2010-01-22,29.2,23.8,12.70,13.0,13.7,253,18.13,25.7,87,99,1010.2,31.7,253,95,73,100,93,16.7,7.9,8.3,4.6,1011.7,1009.0
2010-01-23,29.2,23.7,17.00,17.0,12.3,252,16.63,25.9,86,90,1010.0,26.6,252,96,72,100,70,14.5,6.3,5.0,3.2,1011.2,1007.6
2010-01-24,28.7,23.0,3.20,10.0,16.0,270,20.92,25.9,87,81,1009.1,31.3,270,99,75,100,23,16.2,6.3,9.0,1.8,1011.2,1006.7
2010-01-25,27.1,23.5,6.50,16.0,13.0,301,12.51,25.5,88,99,1009.6,24.8,301,95,83,100,95,14.8,6.1,6.5,0.5,1011.4,1007.8
2010-01-26,28.5,23.5,6.00,13.0,12.9,286,20.10,25.8,86,90,1009.5,26.3,286,96,74,100,41,15.2,5.2,8.6,0.7,1011.3,1007.1
2010-01-27,29.4,23.2,9.10,14.0,12.9,286,20.44,25.8,87,90,1009.5,28.8,286,96,73,100,62,15.5,5.5,7.6,0.7,1010.8,1007.1
2010-01-28,29.0,23.7,13.10,14.0,12.8,285,18.90,25.9,86,96,1009.3,26.6,285,94,73,100,90,15.4,6.5,8.3,1.1,1011.2,1006.6
2010-01-29,28.8,23.4,9.50,11.0,13.8,279,19.67,26.0,86,93,1009.1,29.9,279,94,74,100,67,18.0,8.2,8.6,3.4,1011.1,1006.4
2010-01-30,27.9,23.5,13.30,20.0,13.2,294,12.64,25.2,90,100,1009.5,31.0,294,96,80,100,97,17.2,6.5,6.1,1.9,1011.4,1007.2
2010-01-31,27.9,23.6,8.70,21.0,13.2,300,11.93,25.7,87,100,1010.0,25.6,300,97,75,100,97,14.6,5.9,8.6,2.0,1011.2,1007.6
2010-02-01,28.8,24.1,6.90,14.0,9.5,260,13.01,26.2,85,99,1009.2,22.0,260,95,72,100,94,13.7,6.0,8.6,2.3,1011.0,1006.5
2010-02-02,30.4,23.7,3.40,4.0,13.6,244,22.18,26.8,84,83,1008.2,27.7,244,95,71,100,37,16.8,8.1,9.0,4.9,1010.0,1006.0
2010-02-03,30.0,24.0,7.90,11.0,10.3,262,20.89,26.5,86,98,1008.2,21.6,262,96,72,100,95,13.1,5.5,6.5,1.1,1009.9,1005.6
2010-02-04,29.7,23.7,15.10,13.0,11.3,202,21.18,26.1,88,79,1008.3,25.9,202,97,73,98,24,12.9,4.9,7.2,2.2,1010.0,1005.5
2010-02-05,28.6,24.1,11.40,14.0,11.7,298,15.57,25.7,89,99,1009.1,25.9,298,97,78,100,96,12.2,4.5,6.5,0.4,1011.0,1007.0
2010-02-06,28.0,23.9,6.20,11.0,8.9,253,12.73,26.1,85,100,1010.4,22.3,253,96,76,100,97,12.7,5.4,5.0,2.3,1011.7,1008.7
2010-02-07,29.3,23.4,6.30,11.0,9.8,89,21.72,26.3,86,76,1009.8,23.0,89,97,74,100,25,11.8,5.1,5.8,1.1,1011.7,1007.2
2010-02-08,28.8,23.9,8.90,15.0,9.9,52,19.06,26.2,87,88,1009.2,25.2,52,96,78,99,57,12.9,4.7,5.8,0.4,1011.0,1006.4
2010-02-09,29.8,24.4,9.80,16.0,12.7,80,20.67,26.5,86,87,1008.7,26.6,80,96,72,99,34,14.4,6.0,7.2,2.9,1010.5,1006.5
2010-02-10,30.6,24.3,3.40,6.0,11.4,86,23.26,27.2,84,71,1008.7,25.9,86,96,70,97,18,13.9,5.7,6.8,2.5,1010.4,1006.1
2010-02-11,30.4,24.1,6.20,9.0,9.0,57,22.12,26.9,85,95,1009.3,22.3,57,98,72,100,77,12.7,4.7,5.8,0.7,1010.9,1007.4
2010-02-12,29.3,24.7,11.10,12.0,12.8,359,21.38,26.8,87,90,1009.2,28.8,359,96,77,99,57,13.5,4.7,7.2,0.4,1010.9,1007.0
2010-02-13,27.8,24.3,17.70,20.0,10.6,341,14.54,25.9,90,99,1008.4,29.9,341,97,82,100,95,14.2,3.6,5.4,0.5,1010.3,1006.1
2010-02-14,27.7,23.8,7.90,16.0,7.9,277,11.67,25.7,89,100,1008.6,24.5,277,97,80,100,99,14.4,4.1,4.7,0.7,1011.1,1006.7
2010-02-15,30.0,23.4,17.30,12.0,11.3,272,21.30,26.5,85,86,1008.3,25.2,272,96,69,100,33,12.8,4.8,6.5,1.1,1010.4,1006.0
2010-02-16,29.0,23.7,14.20,22.0,10.9,296,17.75,26.1,89,90,1009.0,25.9,296,97,76,100,56,11.9,4.2,4.3,0.8,1010.6,1007.1
2010-02-17,28.9,24.4,8.60,20.0,11.0,295,16.24,26.1,89,92,1008.7,23.0,295,96,80,100,71,13.2,5.3,5.8,1.5,1010.2,1006.7
2010-02-18,28.1,24.1,30.10,23.0,14.1,293,11.57,25.4,91,98,1009.4,27.4,293,98,80,100,86,14.6,4.3,5.4,0.8,1011.2,1007.6
2010-02-19,27.2,24.0,22.00,24.0,11.0,263,8.81,25.2,90,98,1010.2,27.7,263,95,80,100,94,17.4,6.0,8.6,1.9,1011.8,1008.5
2010-02-20,28.5,24.2,9.80,20.0,15.2,268,13.04,26.0,87,86,1009.8,27.0,268,96,78,100,58,16.4,8.7,10.1,4.2,1012.0,1007.9
2010-02-21,29.8,24.1,5.30,13.0,12.7,296,22.03,26.5,85,71,1009.7,27.0,296,94,73,100,28,16.4,7.4,9.7,4.3,1011.6,1006.9
2010-02-22,29.9,24.4,2.70,6.0,10.7,263,18.34,26.7,85,92,1010.0,27.7,263,93,75,100,48,17.8,7.4,6.8,3.6,1012.2,1007.1
2010-02-23,29.5,24.8,6.40,19.0,8.7,265,15.23,26.8,86,90,1008.6,23.0,265,95,73,100,69,12.8,4.5,4.7,1.1,1010.7,1006.2
2010-02-24,29.9,23.9,13.80,16.0,13.8,291,20.72,26.4,87,88,1007.7,28.4,291,97,76,100,45,13.9,4.8,4.3,1.1,1009.1,1006.0
2010-02-25,28.1,23.8,6.80,16.0,13.9,318,15.26,26.0,89,99,1009.0,25.2,318,97,80,100,95,12.5,4.9,6.8,0.5,1011.2,1007.3
2010-02-26,30.3,23.9,0.70,4.0,8.7,281,23.95,27.1,85,78,1008.5,20.2,281,96,69,100,2,12.4,5.1,7.9,0.8,1010.6,1006.1
2010-02-27,31.1,24.7,4.80,6.0,9.7,262,23.14,27.3,83,76,1007.8,23.0,262,95,67,100,19,12.6,5.1,6.8,3.2,1009.8,1005.2
2010-02-28,31.1,24.7,10.40,12.0,8.2,240,22.08,27.2,85,93,1008.4,19.4,240,94,70,100,76,13.5,4.6,8.6,2.3,1010.7,1005.9
2010-03-01,31.3,24.8,11.20,6.0,9.4,224,23.89,27.1,85,93,1009.0,21.2,224,95,70,100,28,15.7,5.7,8.3,1.6,1011.3,1006.1
2010-03-02,30.7,24.2,12.90,14.0,10.0,280,22.44,26.8,87,82,1008.6,25.2,280,97,70,100,16,12.5,4.1,6.8,1.8,1010.3,1006.0
2010-03-03,29.7,24.4,3.70,11.0,10.0,27,18.33,26.8,87,98,1008.3,23.4,27,96,73,100,94,11.7,3.4,4.0,0.7,1009.9,1006.1
2010-03-04,30.7,24.4,6.90,10.0,9.5,236,20.45,27.0,86,78,1007.7,22.7,236,97,72,100,27,12.2,4.4,5.8,2.3,1009.1,1005.0
2010-03-05,28.8,24.4,7.00,10.0,10.5,80,13.54,26.3,87,100,1008.4,23.8,80,96,76,100,99,10.5,4.0,5.4,0.8,1010.1,1007.2
2010-03-06,29.9,24.5,5.70,8.0,11.2,321,19.79,26.9,86,84,1009.5,23.0,321,97,75,100,38,12.7,4.3,5.4,0.5,1012.0,1007.6
2010-03-07,30.2,24.2,9.40,17.0,9.3,311,19.93,26.7,87,88,1009.5,24.8,311,97,75,100,50,13.1,4.3,5.4,0.4,1011.3,1006.9
2010-03-08,30.1,24.4,13.10,16.0,7.9,266,18.22,26.5,87,90,1009.3,19.1,266,96,72,100,52,11.9,4.4,7.2,0.5,1011.4,1006.9
2010-03-09,29.1,24.5,15.30,18.0,10.3,259,18.10,26.3,87,97,1010.2,24.8,259,94,78,100,91,14.2,5.1,8.3,1.1,1012.2,1008.2
2010-03-10,29.1,24.2,12.90,18.0,11.1,253,12.78,25.8,88,100,1011.4,23.0,253,95,74,100,99,13.3,6.1,5.0,4.2,1013.4,1009.7
2010-03-11,28.5,23.9,9.70,14.0,17.0,301,14.98,25.6,88,93,1012.5,32.0,301,95,79,100,70,16.1,6.7,9.0,0.8,1014.5,1010.8
2010-03-12,29.7,23.6,1.40,7.0,9.7,56,21.72,26.5,81,64,1012.2,21.6,56,95,66,93,43,13.3,4.7,7.2,0.8,1014.5,1009.4
2010-03-13,30.7,24.0,1.30,4.0,10.3,96,23.51,27.0,82,49,1010.3,26.3,96,94,69,96,3,12.6,5.0,5.8,2.1,1012.0,1007.7
2010-03-14,29.8,24.3,7.90,10.0,14.4,80,21.79,26.5,85,78,1008.4,30.2,80,95,72,100,23,15.8,5.5,6.8,1.6,1010.2,1005.8
2010-03-15,28.9,24.1,9.60,16.0,11.5,360,19.36,26.2,88,91,1008.4,25.6,360,97,76,100,59,13.6,4.1,5.4,1.1,1010.1,1005.8
2010-03-16,27.2,24.1,21.40,24.0,10.4,267,9.18,25.3,91,99,1008.5,22.0,267,96,83,100,93,11.7,4.7,6.8,2.1,1010.3,1006.9
2010-03-17,28.0,23.6,18.80,22.0,13.0,275,10.61,25.3,91,99,1009.9,25.9,275,98,81,100,97,15.5,6.2,7.9,0.4,1012.2,1008.0
2010-03-18,28.8,23.8,3.10,9.0,9.2,268,12.87,25.9,86,95,1010.1,21.6,268,95,73,100,67,12.3,5.1,5.4,2.6,1011.6,1007.9
2010-03-19,30.0,23.8,11.10,13.0,9.3,256,20.43,26.3,88,78,1008.1,25.2,256,96,71,100,34,13.2,4.7,6.8,2.2,1010.1,1005.1
2010-03-20,29.0,24.4,22.20,24.0,7.4,238,14.05,26.1,88,99,1007.3,18.7,238,97,75,100,95,11.3,4.9,6.8,2.0,1008.8,1005.6
2010-03-21,29.3,24.0,14.30,17.0,9.9,250,17.64,26.1,88,96,1007.4,21.2,250,96,74,100,87,13.3,6.3,9.0,4.6,1008.9,1005.0
2010-03-22,30.3,24.5,2.50,3.0,16.9,247,19.97,26.8,84,79,1006.1,33.8,247,94,73,100,6,17.7,9.5,8.3,4.9,1007.6,1003.8
2010-03-23,29.8,24.1,6.00,9.0,8.6,220,18.09,26.6,86,92,1005.7,19.8,220,94,72,100,64,10.6,4.3,4.0,1.1,1007.4,1003.1
2010-03-24,30.7,24.1,11.70,12.0,8.7,207,21.46,26.7,86,91,1005.5,21.2,207,97,71,100,60,13.5,5.3,5.0,2.2,1007.4,1003.1
2010-03-25,29.6,24.4,10.10,13.0,9.8,43,20.44,26.4,87,86,1006.2,22.3,43,95,75,100,44,13.6,4.6,8.6,0.4,1008.2,1003.9
2010-03-26,29.1,24.4,9.70,15.0,8.7,277,14.86,26.3,87,98,1007.6,23.8,277,95,75,100,86,12.6,4.3,4.0,0.7,1009.8,1005.5
2010-03-27,30.0,24.4,9.50,11.0,8.7,255,16.41,26.5,87,98,1008.4,28.1,255,97,73,100,94,16.4,5.4,8.3,1.6,1010.3,1005.1
2010-03-28,28.1,24.6,13.70,13.0,13.8,274,12.03,26.0,90,100,1008.3,29.2,274,96,83,100,99,15.0,6.4,5.4,0.7,1010.0,1006.1
2010-03-29,28.4,24.0,23.80,17.0,12.0,267,12.96,25.8,90,97,1008.7,23.8,267,96,81,100,88,15.3,6.8,9.0,2.9,1010.8,1006.8
2010-03-30,27.4,24.3,9.50,17.0,11.1,231,6.17,25.6,87,99,1009.9,20.5,231,94,78,100,92,15.4,8.0,10.1,4.3,1011.8,1008.4
2010-03-31,29.0,23.3,5.70,16.0,7.2,251,14.35,26.1,87,84,1009.3,22.0,251,96,74,100,53,12.9,4.5,5.8,1.5,1011.1,1006.9
2010-04-01,31.0,23.6,0.90,3.0,10.2,281,21.94,26.9,85,72,1008.5,24.1,281,97,66,100,7,12.9,4.6,7.2,1.6,1010.8,1005.2
2010-04-02,31.1,23.9,10.90,7.0,13.3,224,22.38,26.9,85,79,1008.1,28.1,224,98,70,100,41,16.8,5.8,7.6,2.3,1009.8,1004.5
2010-04-03,30.0,24.7,0.50,1.0,11.8,238,14.05,26.9,81,99,1008.5,28.8,238,89,67,100,91,16.5,8.4,10.4,4.3,1010.1,1006.0
2010-04-04,31.5,24.4,1.80,3.0,11.1,230,22.17,27.6,80,68,1007.9,29.9,230,92,66,100,8,14.5,6.6,7.9,2.6,1009.4,1005.0
2010-04-05,31.2,23.9,1.30,5.0,8.9,223,21.72,27.3,84,67,1007.7,23.0,223,97,68,98,32,12.6,3.7,6.5,1.1,1009.5,1005.6
2010-04-06,30.5,24.1,8.30,8.0,6.5,136,22.51,27.1,85,67,1007.9,21.2,136,95,71,100,8,12.9,4.1,6.8,1.5,1009.9,1005.6
2010-04-07,31.1,24.7,11.10,10.0,6.0,217,19.12,27.0,86,96,1008.7,23.8,217,94,69,100,79,13.2,4.1,6.5,2.1,1010.7,1006.6
2010-04-08,30.4,24.3,3.80,5.0,7.6,250,17.09,26.9,87,96,1008.8,20.9,250,97,71,100,73,11.7,4.5,6.5,0.5,1011.4,1006.2
2010-04-09,30.6,24.5,1.90,6.0,11.2,252,18.96,27.2,85,93,1007.3,24.5,252,96,68,100,72,13.7,7.7,7.9,3.9,1009.6,1004.3
2010-04-10,30.4,23.6,7.10,12.0,11.2,279,21.11,26.6,85,88,1006.7,24.8,279,97,71,100,53,14.7,6.2,8.3,1.3,1008.6,1004.2
2010-04-11,30.0,24.8,4.30,10.0,13.1,251,17.38,27.2,84,95,1007.3,29.5,251,95,73,100,64,16.2,7.8,9.0,4.3,1009.0,1005.1
2010-04-12,30.8,23.8,0.10,1.0,7.7,249,21.19,27.4,83,87,1006.3,18.4,249,99,66,100,44,12.1,5.0,5.8,0.8,1008.2,1003.7
2010-04-13,30.7,24.5,0.10,1.0,10.9,275,22.04,27.6,82,39,1007.1,19.4,275,96,65,79,9,12.9,6.1,6.1,2.0,1008.8,1004.4
2010-04-14,30.0,25.1,14.10,18.0,9.2,275,15.76,26.9,86,90,1007.6,25.6,275,95,72,100,67,15.0,5.3,8.6,1.8,1009.7,1005.8
2010-04-15,30.6,24.0,9.30,7.0,11.4,250,19.66,26.8,86,88,1008.0,25.9,250,96,71,100,47,14.2,6.7,8.3,4.2,1010.3,1005.8
2010-04-16,29.6,24.8,5.40,13.0,17.3,247,15.78,26.4,82,100,1008.7,41.8,247,94,69,100,98,23.1,10.4,9.0,4.9,1010.6,1007.0
2010-04-17,30.5,24.0,0.00,0.0,12.1,258,18.26,27.0,75,95,1008.4,24.1,258,87,63,100,70,15.4,7.7,10.1,3.4,1010.2,1005.8
2010-04-18,30.2,24.1,0.90,4.0,15.9,251,20.62,27.1,80,90,1008.7,34.9,251,93,64,100,63,20.6,11.0,11.9,6.6,1010.8,1006.5
2010-04-19,30.2,24.2,0.30,2.0,17.3,249,20.14,27.1,79,72,1007.4,32.4,249,92,65,99,17,19.8,10.9,11.5,6.3,1009.6,1004.9
2010-04-20,30.8,24.2,0.40,2.0,13.4,251,20.38,27.2,82,78,1006.8,27.0,251,93,65,100,40,16.1,8.2,6.8,3.3,1008.5,1004.3
2010-04-21,30.3,24.5,2.40,7.0,13.9,256,18.02,26.9,84,99,1007.4,29.9,256,95,69,100,97,16.2,8.3,9.0,4.2,1009.3,1005.3
2010-04-22,30.1,24.6,1.30,4.0,16.2,252,17.01,27.2,83,97,1007.8,31.0,252,92,70,100,93,18.9,10.1,10.1,4.7,1009.6,1005.4
2010-04-23,30.9,25.1,0.00,0.0,15.2,250,18.10,27.5,80,90,1007.9,32.0,250,91,66,100,30,20.8,11.8,13.3,8.2,1009.7,1005.5
2010-04-24,31.5,25.5,0.30,2.0,11.8,255,19.86,28.0,80,84,1007.7,25.6,255,91,65,100,49,17.6,9.5,8.6,5.9,1009.6,1005.0
2010-04-25,31.1,24.7,0.90,3.0,10.8,76,21.57,27.5,82,94,1008.4,16.6,76,94,65,100,54,12.8,5.3,8.3,2.1,1010.2,1006.2
2010-04-26,31.1,25.5,1.40,8.0,10.4,355,23.01,27.8,82,68,1009.3,21.2,355,95,66,100,21,10.9,4.7,4.7,1.3,1011.2,1007.1
2010-04-27,31.0,24.5,0.80,4.0,8.1,266,21.03,27.7,81,60,1009.7,18.7,266,95,63,100,14,11.0,5.0,6.1,2.9,1011.6,1007.6
2010-04-28,31.4,24.7,0.00,0.0,9.4,256,21.41,27.9,75,81,1009.7,24.8,256,92,56,99,39,13.6,6.1,7.9,2.3,1011.2,1007.4
2010-04-29,30.4,25.1,5.40,7.0,8.0,140,16.98,27.2,84,81,1009.7,20.9,140,93,70,100,26,11.2,3.9,4.0,1.1,1011.3,1007.7
2010-04-30,31.0,24.5,0.10,1.0,14.3,83,21.51,27.5,82,45,1009.1,25.6,83,95,65,99,13,15.7,7.4,6.5,3.2,1011.1,1006.8
2010-05-01,31.3,25.3,0.70,3.0,17.7,91,21.46,28.1,80,36,1008.1,33.5,91,91,63,82,1,17.4,7.9,8.3,0.0,1009.7,1005.7
2010-05-02,30.9,24.5,1.30,5.0,12.1,71,19.79,27.6,82,96,1008.0,29.2,71,96,65,99,87,15.2,5.8,6.8,1.4,1009.6,1005.9
2010-05-03,31.6,24.3,1.10,6.0,13.5,90,21.95,27.5,82,55,1006.3,26.3,90,96,63,93,8,15.3,6.3,8.3,0.7,1008.0,1003.7
2010-05-04,29.8,24.6,5.40,10.0,17.2,94,16.10,26.7,86,87,1006.1,33.1,94,94,72,100,26,17.5,7.3,6.5,2.7,1007.5,1003.9
2010-05-05,29.6,24.7,6.10,12.0,16.6,95,12.99,26.7,85,99,1006.2,31.7,95,95,70,100,95,16.2,7.8,6.8,3.2,1007.9,1004.5
2010-05-06,31.4,25.2,0.20,1.0,12.1,81,22.62,28.0,77,48,1005.5,27.7,81,90,61,99,8,15.4,7.4,8.3,2.9,1007.3,1003.4
2010-05-07,30.8,24.3,4.50,7.0,11.8,92,20.64,27.5,83,89,1004.9,25.9,92,96,68,98,46,13.3,5.7,7.2,1.8,1007.0,1002.8
2010-05-08,28.2,25.1,9.20,10.0,12.5,105,10.66,26.6,89,97,1004.8,25.9,105,94,83,100,84,14.9,6.2,6.1,1.4,1006.6,1003.0
2010-05-09,30.2,24.2,4.20,5.0,8.7,230,17.29,27.0,85,72,1004.8,22.0,230,98,67,95,46,12.7,4.3,4.7,1.1,1007.2,1002.1
2010-05-10,30.5,24.4,5.90,6.0,9.2,243,17.57,26.9,86,85,1005.1,23.4,243,95,69,99,60,11.4,4.8,5.8,2.6,1007.2,1003.3
2010-05-11,30.5,24.5,13.10,9.0,7.6,180,15.09,26.7,88,82,1005.1,20.2,180,96,72,99,30,10.9,3.9,6.1,1.9,1006.7,1002.0
2010-05-12,30.4,24.3,11.00,6.0,13.5,231,15.08,26.8,87,98,1005.2,31.7,231,98,73,100,90,16.1,8.1,7.6,4.7,1007.0,1003.8
2010-05-13,30.6,24.5,15.90,11.0,8.3,230,15.16,26.8,87,94,1005.0,19.8,230,95,71,100,60,13.8,4.5,7.6,1.1,1006.7,1002.9
2010-05-14,29.9,24.9,8.20,11.0,6.9,248,14.17,26.8,88,88,1004.3,18.7,248,96,74,100,53,11.8,4.5,5.8,2.5,1006.0,1002.3
2010-05-15,29.6,24.4,6.70,4.0,9.2,266,11.68,26.6,88,96,1004.1,22.7,266,96,74,100,84,12.1,4.6,6.1,0.4,1005.8,1002.0
2010-05-16,29.8,24.6,12.90,18.0,11.2,326,12.31,26.5,90,100,1005.0,29.9,326,97,76,100,100,17.1,4.1,6.1,0.0,1007.2,1003.4
2010-05-17,30.4,24.7,5.60,12.0,9.0,100,16.60,26.8,87,71,1006.4,26.6,100,95,72,100,14,14.8,5.1,8.6,2.3,1007.9,1004.3
2010-05-18,30.4,24.2,1.60,7.0,8.2,147,18.05,27.2,84,42,1006.8,26.3,147,96,71,75,5,13.4,4.1,6.8,1.3,1008.3,1005.0
2010-05-19,30.5,24.1,1.40,8.0,9.9,355,19.63,27.0,86,30,1007.2,20.2,355,98,70,86,2,12.2,4.8,6.1,1.5,1008.6,1005.3
2010-05-20,29.9,24.4,5.50,11.0,7.3,104,15.46,26.8,87,71,1008.5,19.8,104,97,72,94,29,10.6,3.6,4.3,1.3,1010.3,1006.5
2010-05-21,30.7,23.7,6.50,7.0,7.2,145,20.28,26.9,85,46,1008.7,18.0,145,97,69,92,5,10.7,4.0,5.0,1.1,1010.3,1006.4
2010-05-22,31.1,24.5,12.80,7.0,8.8,170,20.50,27.1,84,59,1007.8,21.2,170,96,68,100,7,12.6,5.0,8.6,0.8,1009.6,1005.2
2010-05-23,29.3,24.9,8.40,11.0,7.7,315,14.91,26.7,87,89,1007.9,17.6,315,95,77,100,56,11.4,4.3,5.8,1.1,1009.7,1005.4
2010-05-24,29.6,24.3,4.70,6.0,8.4,114,15.69,26.5,87,96,1007.7,23.0,114,95,74,100,78,12.8,4.5,6.8,0.0,1009.2,1005.7
2010-05-25,29.9,24.2,1.90,3.0,10.7,129,16.84,26.9,86,80,1007.9,22.0,129,96,74,100,23,11.4,4.1,5.4,0.0,1009.2,1006.5
2010-05-26,30.5,24.2,6.30,6.0,7.9,208,17.99,27.0,84,87,1007.8,17.6,208,95,69,100,21,11.7,4.4,6.8,0.7,1009.6,1005.1
2010-05-27,28.0,24.4,9.00,11.0,7.6,106,9.65,25.9,91,100,1009.1,23.0,106,97,81,100,99,12.6,4.0,7.2,0.5,1010.8,1007.6
2010-05-28,30.2,24.1,1.50,7.0,11.2,109,16.38,26.6,88,98,1009.2,29.2,109,99,71,100,89,14.8,5.6,6.5,1.8,1010.8,1007.9
2010-05-29,30.1,23.9,6.60,8.0,7.9,125,17.35,26.6,87,96,1009.0,25.6,125,97,72,100,85,13.2,4.3,5.4,1.1,1010.3,1007.0
2010-05-30,29.8,23.7,5.20,5.0,12.5,89,16.56,26.3,87,95,1008.6,31.7,89,98,72,100,75,13.8,4.7,6.5,1.0,1010.0,1007.1
2010-05-31,30.1,23.6,11.90,10.0,12.0,98,16.86,26.2,88,75,1008.3,24.1,98,98,72,100,31,15.5,5.8,8.3,1.4,1010.2,1005.7
2010-06-01,30.0,24.5,9.10,6.0,6.6,216,18.87,26.7,85,60,1008.7,19.4,216,94,71,95,7,12.4,4.3,5.4,0.5,1009.9,1006.9
2010-06-02,30.2,24.1,1.50,6.0,10.2,30,18.71,27.0,85,86,1009.1,20.9,30,97,69,100,56,12.8,4.8,6.1,1.3,1010.7,1007.0
2010-06-03,30.5,24.9,1.40,3.0,8.4,130,15.73,27.2,85,85,1009.4,22.7,130,96,70,100,41,12.0,4.1,5.8,1.1,1010.8,1007.6
2010-06-04,29.1,24.5,7.90,8.0,10.9,90,15.40,26.3,88,78,1008.7,25.6,90,96,75,97,27,13.0,4.6,5.8,1.1,1009.9,1006.8
